

| 序号 | 单词 | 词性 | 释义 |
| 72 | grocery | n. | 食品杂货店 |
| 73 | ignorance | n. | 无知， 愚昧 |
| 74 | intelligence | n. | 智力； 理解力； 情报 |
| 75 | tiny | adj. | 微小的 |
| 76 | praise | n. | 赞扬，赞美 v. 赞扬 |
| 77 | memorize | v. | 熟记，牢记 |
| 78 | relative | adj. | 有关系的，相对的 n. 亲属， 亲戚 |
| 79 | breakthrough | n. | 突破 |
| 80 | incidence | n. | 几率，发生率 |
| 81 | scratch | v. | 抓，搔，扒；刮，擦；刻出 n. 抓痕， 划痕； 抓， 搔， 刮 |
| 82 | harmful | adj. | 有害的 |
| 83 | undergo | vt. | 经历， 经受， 忍受； 接受 |
| 84 | recession | n. | 衰退， 衰退期 |
| 85 | extraordinary | adj. | 非同寻常的；特别的（会议） |
| 86 | improper | adj. | 不合适的，不适当的 |
| 87 | marginalize | v. | 边缘化，排斥 |
| 88 | vital | adj. | 致命的， 生死攸关的； 极其重要的； 生命的， 有生命力的 |
| 89 | fortunately | adv. | 幸运地； 幸亏 |
| 90 | commencement | n. | 毕业典礼 |
| 91 | fetch | v. | 拿来；请来，接去 |
| 92 | clumsy | adj. | 笨拙的， 愚笨的； 粗陋的； 不得体的 |
| 93 | establishment | n. | 建立， 设立， 确立； 企业； 当权人物 |
| 94 | emit | vt. | 散发； 发射； 发表 |
| 95 | entertaining | adj. | 有趣的，使人愉快的 |
| 96 | irregular | adj. | 不规则的；不整齐的 |
| 97 | psychologist | n. | 心理学家 |
| 98 | era | n. | 时代， 年代， 纪元 |
| 99 | triumph | vi. | 成功 n. 凯旋，胜利 |
| 100 | detection | n. | 察觉， 发觉； 侦查， 探测 |
| 101 | cozy | adj. | 舒适的 |
| 102 | gallery | n. | 画廊， 美术馆； 楼座； 旁听席； 回廊， 走廊 |
| 103 | enormous | adj. | 巨大的， 庞大的 |
| 104 | obtain | v. | 获得； 通用， 流行； 存在 |
| 105 | desert | n. | 沙漠 v. 离弃；擅离 |
| 106 | aviate | v. | 驾驶飞机 |
| 107 | determine | vi. | 决意 vt. 决定；查明；使下决心 |
| 108 | disappear | vi. | 不见， 失踪， 消失 |
| 109 | entitle | v. | 使具有权利，使具有资格 |
| 110 | relieve | vt. | 使轻松， 使宽慰， 缓解； 使得到调剂； 接替 |
| 111 | generosity | n. | 慷慨，大方 |
| 112 | colleague | n. | 同事， 同僚 |
| 113 | undertake | vt. | 从事； 承担； 同意； 保证 |
| 114 | convenient | adj. | 便利的；近便的 |
| 115 | preferentially | adv. | 优先地 |
| 116 | column | n. | 柱， 支柱， 圆柱； 纵队； 栏， 专栏 |
| 117 | affectionate | adj. | 深情的，柔情的 |
| 118 | issue | v. | 发行， 分发， 发出 n. 问题；发行，分发 |
| 119 | inquire | v. | 打听， 询问； 调查 |
| 120 | groundlessly | adv. | 无缘无故地，无根据地 |
| 121 | independently | adv. | 独立地 |
| 122 | approach | vt. | 向…靠近 n. 靠近 |
| 123 | administration | n. | 管理； 管理部门， 行政机关； 实行， 执行 |
| 124 | adversity | n. | 逆境，不幸 |
| 125 | technician | n. | 技术员， 技师 |
| 126 | regular | adj. | 有规律的，经常的 |
| 127 | miscalculation | n. | 算错，误算 |
| 128 | hinder | v. | 阻碍 |
| 129 | selection | n. | 选择， 挑选； 被挑选出来的人， 精选品； 可供选择的东西 |
| 130 | tide | n. | 潮， 潮汐； 潮流， 趋势 |
| 131 | superior | adj. | 上级的，较高的；优越的；有优越感的，高傲的 n. 上级， 长官 |
| 132 | matter | n. | 事情；物质 v. 要紧 |
| 133 | passively | adv. | 消极地 |
| 134 | grant | n. | 授予物；补助金 vt. 授予， 给予； 同意 |
| 135 | liberation | n. | 解放 |
| 136 | observe | vt. | 注意到， 观察； 评说； 遵守 |
| 137 | institute | v. | 建立 n. 〔从事科研或教育等的〕机构；学院；研究院 |
| 138 | dormitory | n. | 集体寝室， 宿舍 |
| 139 | awful | adj. | 令人不愉快的， 难过的； 非常的， 极大的 |
| 140 | emergency | n. | 紧急情况， 突然事件 |
| 141 | stress | n. | 压力；强调；重要性；应力；重音 vt. 强调， 着重； 重读 |
| 142 | launch | vt. | 发射，投射，发动；使下水 n. 发射； 下水 |
| 143 | suppose | vt. | 猜想， 假定， 让； [常用于被动语态]期望， 认为应该 |
| 144 | remove | v. | 移动，搬开；脱掉 |
| 145 | exposure | n. | 暴露， 揭露； 曝光 |
| 146 | promote | vt. | 促进， 增进， 发扬； 提升； 宣传， 推销 |
| 147 | engage | vt. | 使从事； 聘用； 吸引； 占用； 使订婚 |
| 148 | uncertain | adj. | 不确定的 |
| 149 | accommodate | v. | 容纳；供应，供给，提供住宿 |
| 150 | slave | n. | 奴隶 |
| 151 | mature | adj. | 成熟的；成年人的；深思熟虑的；到期的，应支付的 vt. 使成熟 |
| 152 | contrast | vi. | 形成对比， 对比之下显出区别 n. 对比， 对照； 反差 vt. 对比，对照 |
| 153 | clinic | n. | 诊所 |
| 154 | award | n. | 奖，奖品；判定 vt. 授予， 给予； 判给， 裁定 |
| 155 | worthwhile | adj. | 值得花时间的， 值得做的 |
| 156 | cruelty | n. | 残暴，残酷 |
| 157 | threaten | v. | 威胁， 恐吓； 预示快要来临， 是…的征兆； 构成威胁； 可能发生 |
| 158 | chemical | adj. | 化学的 n. 化学制品 |
| 159 | consistent | adj. | 坚持的， 一贯的； 一致的， 符合的 |
| 160 | renew | v. | 重新开始， 继续； 更新； 恢复； 延长有效期 |
| 161 | takeoff | n. | 起飞 |
| 162 | innocent | adj. | 清白的； 幼稚的； 没有恶意的 |
| 163 | currently | adv. | 当前；一般地 |
| 164 | dropout | n. | 辍学者 |
| 165 | replace | vt. | 代替， 取代； 更换， 调换； 把…放回原处 |
| 166 | sightseeing | n. | 观光， 游览 |
| 167 | honor | n. | 荣誉；崇敬，敬重，敬意 |
| 168 | imitate | vt. | 模仿， 仿效， 仿制 |
| 169 | installment | n. | 分期付款 |
| 170 | personality | n. | 人格， 个性； 人物， 名人 |
| 171 | headquarter | v. | 设立总部，在…设立总部 |
| 172 | ingredient | n. | 组成部分， 成分； 原料； 要素， 因素 |
| 173 | revenue | n. | 收入， 收益； 税收， 岁入 |
| 174 | sensitive | adj. | 敏感的， 灵敏的， 神经过敏的； 容易生气的， 易受伤害的 |
| 175 | particular | adj. | 特别的，特指的；讲究的；挑剔的，吹毛求疵的 |
| 176 | tumor | n. | 瘤 |
| 177 | consequence | n. | 结果， 后果； 重要， 重大 |
| 178 | explicitly | adv. | 直接地，明确地 |
| 179 | sway | v. | 摇，摇动；动摇 n. 摇摆， 摇动； 起支配作用的影响 |
| 180 | technical | adj. | 技术的，工艺的 |
| 181 | expert | n. | 专家 adj. 熟练的 |
| 182 | harm | n. | 损害；危害；伤害 v. 伤害，损害〔某事物〕 |
| 183 | imaginary | adj. | 想象中的， 假想的 |
| 184 | contaminate | v. | 污染，弄脏 |
| 185 | soar | vi. | 猛增， 剧增； 高飞， 升腾； 高涨； 高耸， 屹立 |
| 186 | solely | adv. | 单独地，唯一地 |
| 187 | tremendous | adj. | 极大的， 非常的； 精彩的， 了不起的 |
| 188 | civilization | n. | 文明， 文化； 开化 |
| 189 | tough | adj. | 困难的， 难对付的； 坚强的， 能吃苦耐劳的； 健壮的； 坚硬的， 严格的； 老的， 硬的； 粗暴的， 充满暴力的 |
| 190 | gift | n. | 礼物，赠品；天赋 |
| 191 | scale | n. | 大小，规模；等级，级别；天平，磅秤；比例；刻度，标度；鳞 vt. 攀登， 爬越 |
| 192 | injure | vt. | 伤害， 损害， 使遭受损伤 |
| 193 | embrace | v. | 拥抱；欣然接受，乐意采纳 (新思想、意见、宗教等) |
| 194 | seldom | adv. | 很少，罕见 |
| 195 | performance | n. | 演出； 执行， 完成； 工作情况， 表现； 工作性能 |
| 196 | violate | vt. | 违反， 违背； 亵渎； 侵犯； 妨碍 |
| 197 | associate | vi. | 结合； 交往 adj. 副的 vt. 把…联系在一起；使联合 n. 伙伴，同事 |
| 198 | privacy | n. | 隐私 |
| 199 | choke | vt. | 使窒息； 塞满， 塞住 |
| 200 | capable | adj. | 有能力的， 有才能的 |
| 201 | appeal | vi. | 呼吁，恳求；申诉，上诉 vt. 上诉 n. 感染力， 吸引力； 呼吁， 上诉 |
| 202 | careless | adj. | 粗心的；漫不经心的 |
| 203 | hit | n. | (唱片、电影或戏剧的) 成功；命中，击中 |
| 204 | swallow | n. | 燕子；吞，咽 vt. 吞， 咽； 轻信， 轻易接受； 承受， 使不流露； 咽下口水 |
| 205 | consult | vt. | 请教； 查阅； 商议 |
| 206 | preservation | n. | 保存，保留 |
| 207 | distance | n. | 距离，间距；远处 |
| 208 | plastic | adj. | 塑料的；可塑的 n. 塑料， 塑料制品； 信用卡 |
| 209 | predict | vt. | 预言， 预告， 预测 |
| 210 | submit | vi. | 屈从， 听从， 服从 vt. 呈送，提交；主张，建议；使服从，使降服 |
| 211 | entertainment | n. | 娱乐， 文娱节目， 表演会； 招待， 款待， 请客 |
| 212 | critical | adj. | 决定性的； 批评的 |
| 213 | transaction | n. | 办理， 处理； 交易， 业务； 会报， 学报 |
| 214 | via | prep. | 经过， 通过 |
| 215 | insist | v. | 坚持， 坚决认为； 坚持要求 |
| 216 | distract | v. | 分心 |
| 217 | subdivision | n. | 分支; 分部 |
| 218 | yield | v. | 出产；让出，放弃；屈服，顺从；倒塌，垮掉 n. 产量 |
| 219 | misunderstand | v. | 误解，误会，曲解 |
| 220 | detail | n. | 细节，枝节；零件 vt. 详细说明 |
| 221 | immeasurable | adj. | 无法估量的 |
| 222 | convincing | adj. | 令人信服的 |
| 223 | donate | v. | 捐赠 |
| 224 | compare | vt. | 比较， 对照； 把…比作 |
| 225 | item | n. | 〔尤指清单上、一群或一组事物中的〕一项，一件，一条 |
| 226 | concrete | adj. | 实在的， 具体的 n. 混凝土；具体物 |
| 227 | govern | vi. | 居支配地位， 占优势 vt. 统治，治理，支配 |
| 228 | classify | vt. | 把…分类， 把…分级 |
| 229 | restrict | vt. | 限制， 约束， 限定 |
| 230 | establish | vt. | 建立， 设立； 确立； 证实 |
| 231 | counseling | n. | 咨询服务 |
| 232 | majority | n. | 多数， 大多数 |
| 233 | contact | n. | 接触；联系，交往 vt. 与…接触， 与…取得联系 |
| 234 | virtual | adj. | 实质上的， 事实上的， 实际上的 |
| 235 | simplicity | n. | 简单， 简易； 朴素 |
| 236 | enrollment | n. | 入学人数 |
| 237 | programming | n. | 〔计算机的〕程序编写，程序设计；程序；；〔电视或广播〕节目；电视[广播]节目策划，编排 |
| 238 | device | n. | 器械， 装置， 设备； 手段， 策略 |
| 239 | previous | adj. | 先的， 前的； 以前的 |
| 240 | alter | vt. | 改变， 变更， 变动 |
| 241 | coach | n. | 长途公共汽车；教练，指导；旅客车厢 vt. 训练， 指导， 辅导 |
| 242 | crisis | n. | 危机， 存亡之际； 关键阶段 |
| 243 | interconnect | v. | 相互联系 |
| 244 | enrich | v. | 丰富；使富有 |
| 245 | poll | n. | 民意测验；政治选举，大选 vt. 对…进行民意测验； 获得 |
| 246 | consent | v. | 允许，同意 n. 同意，赞同 |
| 247 | utility | n. | 效用， 有用， 实用； 公用事业 |
| 248 | poisonous | adj. | 有毒的； 恶毒的 |
| 249 | collision | n. | 碰撞； 冲突， 抵触 |
| 250 | rank | v. | 给…评定等级； 列入， 占特定等级 n. 军衔，职衔；地位，社会阶层；排，行列 |
| 251 | fundamentally | adv. | 根本上 |
| 252 | inflation | n. | 通货膨胀； 膨胀 |
| 253 | secure | adj. | 安全的，可靠的；牢固的，稳固的；无忧虑的，安心的 vt. 得到， 获得； 使安全， 保卫； 缚牢 |
| 254 | interpret | v. | 解释， 说明； 口译 |
| 255 | criticize | vt. | 批评； 评论； 非难 |
| 256 | arrest | vt. | 逮捕，拘留；停止，阻止；吸引 n. 逮捕， 拘留， 扣留 |
| 257 | afford | vt. | 担负得起； 提供 |
| 258 | implementation | n. | 实现，履行 |
| 259 | initiate | v. | 开始，发起 |
| 260 | enable | vt. | 使能够， 使可能 |
| 261 | narrow | adj. | 狭的，狭窄的 |
| 262 | overcharge | v. | 向……多收费 |
| 263 | shortcut | n. | 捷径，近路 |
| 264 | leisure | n. | 空闲时间； 悠闲 |
| 265 | original | adj. | 最初的；新颖的；原版的 n. 原件， 原作 |
| 266 | density | n. | 密集，稠密；密度；〔物质的〕密度 |
| 267 | sphere | n. | 球， 球体； 范围 |
| 268 | margin | n. | 页边空白； 差数， 差额； 余地； 边缘 |
| 269 | department | n. | 部，司，局，处，系 |
| 270 | desire | v. | 中文释义；想要：要求 n. 愿望 |
| 271 | legend | n. | 传说，传奇 |
| 272 | dictator | n. | 独裁者；专制者 |
| 273 | diversity | n. | 多样性； 差异； 不同点 |
| 274 | quit | vt. | 停止， 放弃； 离开， 辞 |
| 275 | outgoing | adj. | 开朗的；外向的；外出的 |
| 276 | solution | n. | 解决； 解决办法； 溶液 |
| 277 | revenge | n. | 报仇 |
| 278 | reverse | v. | 撤销，推翻；反向，倒转；彻底改变 adj. 反向的， 相反的， 倒转的 n. 相反，对立面；反面，背面，后面；挫折，逆境 |
| 279 | enroll | vi. | 入学，加入 vt. 招收， 吸收 |
| 280 | logically | adv. | 合乎情理地，符合逻辑地 |
| 281 | rental | n. | 租金 |
| 282 | component | adj. | 组成的， 构成的 n. 组成部分，部件，组件 |
| 283 | quotation | n. | 引文， 引语， 语录； 报价， 牌价， 行情 |
| 284 | faith | n. | 信任； 信心； 信仰， 信条； 忠诚 |
| 285 | invalid | adj. | 无效的 |
| 286 | invade | vt. | 入侵， 侵略， 侵袭 |
| 287 | separately | adv. | 分别地，另行 |
| 288 | strain | v. | 扭伤， 拉伤； 尽力； 拉紧 n. 拉紧；过劳；极度紧张；张力；扭伤，拉伤；旋律；品种，家系；气质，个性特点 |
| 289 | accessible | adj. | 易接近的 |
| 290 | lap | v. | 舔； 拍打 n. 膝部；一圈，一段 |
| 291 | character | n. | 性格， 特性； 性质； 人物， 角色； 符号； 字 |
| 292 | widespread | adj. | 分布广的， 普遍的 |
| 293 | rearrange | v. | 重新安排 |
| 294 | hospitalize | vt. | 就医 |
| 295 | avail | v. | 有益, 有帮助 |
| 296 | instant | adj. | 立即的； 紧急的； 可以速食的 n. 瞬间 |
| 297 | democratic | adj. | 民主的， 民主政体的 |
| 298 | barely | adv. | 仅仅， 只不过， 几乎不 |
| 299 | vanish | v. | 突然不见， 消失； 不复存在， 绝迹 |
| 300 | caregiver | n. | 照料者 |
| 301 | harsh | adj. | 严厉的； 粗糙的 |
| 302 | reliable | adj. | 可靠的， 可信赖的 |
| 303 | massive | adj. | 大的， 大而重的； 大块的； 大量的， 大规模的 |
| 304 | alcohol | n. | 酒精， 乙醇 |
| 305 | pregnant | adj. | 怀孕的， 妊娠的 |
| 306 | adapt | vt. | 使适应； 改编 |
| 307 | bogus | adj. | 假冒的 |
| 308 | slippery | adj. | 滑的；模糊的，不明确的， |
| 309 | current | adj. | 当前的， 通用的； 流行的， 流传的 |
| 310 | overwhelm | v. | 压倒，战胜 |
| 311 | stressful | adj. | 充满著压力的，充满著紧张的 |
| 312 | toothache | n. | 牙痛，牙疼 |
| 313 | eliminate | vt. | 消灭， 消除， 排除； 淘汰 |
| 314 | terminal | adj. | 末端的 n. 〔飞机、公共汽车、轮船客运或货物运输的〕集散站，终点站 |
| 315 | severe | adj. | 严重的； 严厉的， 严格的； 严峻的， 艰难的； 朴素的， 不加装饰的 |
| 316 | immobile | adj. | 稳定的，不变的 |
| 317 | diplomatic | adj. | 外交的， 从事外交的； 策略的， 有手腕的 |
| 318 | candidate | n. | 候选人； 投考者， 申请求职者 |
| 319 | fund | n. | 资金，基金；存款 vt. 为…提供资金 |
| 320 | complacency | n. | 自满，满足 |
| 321 | delight | n. | 快乐 v. 使高兴 |
| 322 | inadequate | adj. | 不足的，不够的 |
| 323 | steady | vi. | 稳定 adj. 稳的，平稳的；稳定的，持续的；稳固的 |
| 324 | accurate | adj. | 准确的， 正确无误的 |
| 325 | identification | n. | 身份证明；鉴定，识别；认同； |
| 326 | previously | adv. | 事先 |
| 327 | identical | adj. | 完全相同的， 同一的 |
| 328 | retirement | n. | 退休 |
| 329 | commit | vt. | 犯， 干； 使承诺； 把…托付给； 调拨…供使用， 拨出 |
| 330 | element | n. | 成分， 要素， 元素； 基础， 纲要； 自然力 |
| 331 | assess | vt. | 对估价； 评价， 评论 |
| 332 | hire | v. | 租借 n. 租用，雇用 |
| 333 | represent | vt. | 作为…的代表； 表示， 象征； 描绘， 表现 |
| 334 | overestimate | v. | 对（数量）估计过高 |
| 335 | supervision | n. | 监督 |
| 336 | expose | vt. | 使接触； 揭露 |
| 337 | seemingly | adv. | 表面上看 |
| 338 | assignment | n. | 任务， 指定的作业； 分配， 指派 |
| 339 | preference | n. | 喜爱， 偏爱； 偏爱的事物； 优先 |
| 340 | energetic | adj. | 精力充沛的 |
| 341 | application | n. | 申请， 申请书； 施用， 涂抹； 应用， 实施； 实用性 |
| 342 | moral | adj. | 道德的，有道德的 n. 品行； 道德规范； 寓意 |
| 343 | dispute | v. | 争论， 争执； 对…表示异议 n. 争论 |
| 344 | influence | n. | 影响，作用；影响力，势力；产生影响力的人 vt. 影响 |
| 345 | illegal | adj. | 不合法的， 非法的 |
| 346 | esteem | n. | 自尊 |
| 347 | abundant | adj. | 丰富的， 富裕的； 大量的， 充足的 |
| 348 | survey | vt. | 俯瞰； 检查； 测量 n. 调查， 勘察； 测量， 勘测； 全面审视， 概括论述 |
| 349 | extensively | adv. | 广泛地 |
| 350 | deserve | vt. | 应受， 值得 |
| 351 | crash | vi. | 发出撞击声；垮台，破产；冲，闯 vt. 碰撞；坠落 n. 碰撞； 破裂声 |
| 352 | affirm | v. | 断言，声明 |
| 353 | reputation | n. | 名誉， 名气， 名声 |
| 354 | degree | n. | 度；学位 |
| 355 | fade | vi. | 褪色；逐渐消失；凋谢 vt. 使褪色 |
| 356 | competitor | n. | 竞争者，对手 |
| 357 | confuse | vt. | 使困惑， 把…弄糊涂； 混淆， 把…混同； 混乱， 搞乱 |
| 358 | task | n. | 任务，工作 |
| 359 | lessen | v. | 减少，减轻；缩小 |
| 360 | admit | vt. | 承认， 供认； 准许…进入 |
| 361 | bow | n. | 鞠躬；弓；蝴蝶结 |
| 362 | division | n. | 分， 分配； 除法； 分歧； 分裂 |
| 363 | literature | n. | 文学， 文学作品； 文献， 图书资料 |
| 364 | consultant | n. | 顾问； 会诊医师， 专科医生 |
| 365 | penalty | n. | 处罚， 惩罚； 罚金 |
| 366 | comment | vi. | 评论 n. 评论，意见，注释；闲话，议论 |
| 367 | major | adj. | 较大的；主要的；重大的 n. 少校； 专业 |
| 368 | option | n. | 选择， 选择权， 选择自由； 选择的事物或人， 选课 |
| 369 | socialize | v. | 交往，联谊 |
| 370 | bureau | n. | 局， 司， 处， 社， 所 |
| 371 | budget | v. | 规划，安排；编预算 adj. 低廉的， 收费公道的 n. 预算，预算拨款 |
| 372 | pop | n. | 流行音乐，流行歌曲 |
| 373 | position | n. | 姿势；位置；职位 |
| 374 | unaffordable | adj. | 买不起的，负担不起的 |
| 375 | function | vi. | 运作， 运行 n. 功能；职务，职责 |
| 376 | perceive | vt. | 感知， 感觉， 察觉； 认识到， 意识到； 理解 |
| 377 | reserve | vt. | 保留，留存；预订 n. 储备； 保留； 拘谨， 矜持； 替补队员， 后备部队； 自然保护区 |
| 378 | innovation | n. | 改革，创新 |
| 379 | alert | adj. | 警觉的，留神的，注意的 vt. 使认识到，使意识到 n. 警戒， 戒备； 警报 |
| 380 | cautious | adj. | 十分小心的， 谨慎的 |
| 381 | document | n. | 公文，文件；证件 vt. 用文件等证明 |
| 382 | characterize | vt. | 成为…的特征， 以…为特征； 描绘的特性， 描述 |
| 383 | achieve | v. | 完成，实现；达到 |
| 384 | address | n. | 地址；演说 |
| 385 | inspiration | n. | 灵感 |
| 386 | agency | n. | 经办， 代理； 代理处； 专门行政部门 |
| 387 | formulate | v. | 规定，制定 |
| 388 | fate | n. | 命运， 天数 |
| 389 | surf | v. | 冲浪 |
| 390 | steer | v. | 掌舵， 驾驶； 操纵 |
| 391 | structure | n. | 结构，构造 vt. 建造 |
| 392 | architect | n. | 建筑师， 设计师； 缔造者 |
| 393 | frame | n. | 框架，框子，构架 vt. 给…镶框； 陷害， 诬告； 制定； 表达 |
| 394 | amaze | vt. | 使惊奇， 使惊愕 |
| 395 | affirmation | n. | 断言，肯定 |
| 396 | intelligent | adj. | 有智慧的，聪明的，悟性强的 |
| 397 | code | n. | 准则；法典；代码 |
| 398 | burden | n. | 重担，精神负担 vt. 加重压于， 烦扰； 负担， 装载 |
| 399 | absorb | vt. | 吸收； 吸引…的注意， 使全神贯注； 把…并入， 同化 |
| 400 | instruction | n. | 命令， 指示； 用法说明； 教学， 教导 |
| 401 | admission | n. | 允许进入； 承认； 入场费， 入场券 |
| 402 | additional | adj. | 附加的， 追加的 |
| 403 | prejudice | n. | 偏见，成见 vt. 使有偏见； 对…不利， 损害 |
| 404 | process | n. | 过程，进程；；工序；工艺流程 v. 处理 |
| 405 | elegant | adj. | 优美的， 文雅的， 讲究的； 简练的， 简洁的 |
| 406 | hospitable | adj. | 热情友好的 |
| 407 | refreshing | adj. | 恢复活力的 |
| 408 | ensure | v. | 保证；保护；赋予 |
| 409 | frighten | v. | 使惊恐，使恐慌 |
| 410 | civilized | adj. | 文明的 |
| 411 | approval | n. | 批准，认可；赞成，同意 |
| 412 | publicize | v. | 宣布 |
| 413 | resident | adj. | 居住的， 定居的； 住校的， 住院的 n. 居民，定居者；住院医生 |
| 414 | considerate | adj. | 考虑周到的， 体贴的， 体谅的 |
| 415 | twist | v. | 缠绕，盘绕；转动，旋动；捻，搓；歪曲，曲解；扭歪，扭伤；曲折前进；转身 n. 扭弯； 转折， 转变； 弯曲， 曲折处 |
| 416 | citizen | n. | 市民，城镇居民；公民 |
| 417 | stake | n. | 桩；利害关系；股份；赌金，赌注 vt. 以…打赌， 拿…冒险 |
| 418 | keenly | adv. | 敏锐地 |
| 419 | superficial | adj. | 表面的， 肤浅的 |
| 420 | flexibility | n. | 灵活性， 机动性， 柔韧性 |
| 421 | favorable | adj. | 赞同的 |
| 422 | competent | adj. | 有能力的， 能胜任的 |
| 423 | emotional | adj. | 情绪(上)的，情感(上)的；激起感情的； 敏感的；情绪激动的〔尤指哭泣〕 |
| 424 | pioneer | n. | 拓荒者；先驱者 |
| 425 | sustain | vt. | 保持， 使持续下去； 供养， 维持； 支持， 支撑； 经受， 遭受 |
| 426 | gloomy | adj. | 黑暗的；令人沮丧的 |
| 427 | convince | vt. | 使确信， 使信服， 说服 |
| 428 | profitable | adj. | 有利可图的，有益的 |
| 429 | routinely | adv. | 例行公事地 |
| 430 | phenomenon | n. | 现象 |
| 431 | variety | n. | 多样化； 种类； 变种 |
| 432 | gum | n. | 口香糖； 树胶 |
| 433 | criticism | n. | 批评， 批判； 评论， 评论文章 |
| 434 | fatal | adj. | 致命的， 命运的； 重大的， 决定性的 |
| 435 | delightful | adj. | 高兴的 |
| 436 | tedious | adj. | 冗长乏味的， 沉闷的 |
| 437 | flexible | adj. | 易弯曲的， 灵活的 |
| 438 | considerably | adv. | 相当地，非常地 |
| 439 | efficiently | adj. | 有效地 |
| 440 | appearance | n. | 出现， 来到； 外观 |
| 441 | album | n. | 粘贴簿，集邮簿，册 |
